Directory,GC Content,Count
AA-2_R1_fastqc,7.0,1.0
AA-2_R1_fastqc,8.0,1.0
AA-2_R1_fastqc,9.0,1.0
AA-2_R1_fastqc,10.0,1.5
AA-2_R1_fastqc,11.0,1.5
AA-2_R1_fastqc,12.0,1.0
AA-2_R1_fastqc,13.0,1.0
AA-2_R1_fastqc,14.0,1.0
AA-2_R1_fastqc,15.0,1.0
AA-2_R1_fastqc,16.0,1.0086720282110793
AA-2_R1_fastqc,17.0,1.3333333333333333
AA-2_R1_fastqc,18.0,1.0
AA-2_R1_fastqc,19.0,1.0
AA-2_R1_fastqc,20.0,1.5
AA-2_R1_fastqc,21.0,1.5
AA-2_R1_fastqc,22.0,1.5
AA-2_R1_fastqc,23.0,1.5
AA-2_R1_fastqc,24.0,1.2
AA-2_R1_fastqc,25.0,2.015151515151515
AA-2_R1_fastqc,26.0,2.583333333333333
AA-2_R1_fastqc,27.0,3.111695293953358
AA-2_R1_fastqc,28.0,4.106926406926407
AA-2_R1_fastqc,29.0,5.429435217039492
AA-2_R1_fastqc,30.0,6.044114860507637
AA-2_R1_fastqc,31.0,8.638273268376276
AA-2_R1_fastqc,32.0,15.229900232097206
AA-2_R1_fastqc,33.0,19.747856805584483
AA-2_R1_fastqc,34.0,20.315604562217764
AA-2_R1_fastqc,35.0,21.434013998527753
AA-2_R1_fastqc,36.0,24.012862762467794
AA-2_R1_fastqc,37.0,28.869942218335346
AA-2_R1_fastqc,38.0,29.77762760899379
AA-2_R1_fastqc,39.0,24.12453725518064
AA-2_R1_fastqc,40.0,21.799527659505433
AA-2_R1_fastqc,41.0,17.743231152194056
AA-2_R1_fastqc,42.0,14.620185143142047
AA-2_R1_fastqc,43.0,15.549550469254314
AA-2_R1_fastqc,44.0,17.49625556836876
AA-2_R1_fastqc,45.0,12.83455546629023
AA-2_R1_fastqc,46.0,12.576048318497397
AA-2_R1_fastqc,47.0,12.511073233016427
AA-2_R1_fastqc,48.0,10.667783773023194
AA-2_R1_fastqc,49.0,8.464650788123587
AA-2_R1_fastqc,50.0,6.811585916963561
AA-2_R1_fastqc,51.0,9.488221449725831
AA-2_R1_fastqc,52.0,6.339733890928076
AA-2_R1_fastqc,53.0,7.040725380041074
AA-2_R1_fastqc,54.0,7.1708801721563615
AA-2_R1_fastqc,55.0,3.939287127658481
AA-2_R1_fastqc,56.0,3.7092003782753737
AA-2_R1_fastqc,57.0,2.5844633369059813
AA-2_R1_fastqc,58.0,2.9863891611287388
AA-2_R1_fastqc,59.0,2.7552603710669383
AA-2_R1_fastqc,60.0,1.3790940134971006
AA-2_R1_fastqc,61.0,1.4191367058787168
AA-2_R1_fastqc,62.0,2.3093835549465265
AA-2_R1_fastqc,63.0,2.0126746112984275
AA-2_R1_fastqc,64.0,0.7587890076182131
AA-2_R1_fastqc,65.0,0.4027973098250167
AA-2_R1_fastqc,66.0,1.1395507136840002
AA-2_R1_fastqc,67.0,1.4564394685389903
AA-2_R1_fastqc,68.0,0.45307325011847377
AA-2_R1_fastqc,69.0,0.22563948942601741
AA-2_R1_fastqc,70.0,0.06925546552514905
AA-2_R1_fastqc,71.0,0.75760797866325
AA-2_R1_fastqc,72.0,0.5242761845815281
AA-2_R1_fastqc,73.0,0.09090909090909091
AA-2_R1_fastqc,74.0,0.02224666911135558
AA-2_R1_fastqc,75.0,0.09033104631598911
AA-2_R1_fastqc,76.0,0.0026246719160104987
AA-2_R1_fastqc,77.0,0.030601424026662626
AA-2_R1_fastqc,78.0,0.0
AA-2_R1_fastqc,79.0,0.0
AA-2_R1_fastqc,80.0,0.022885863465573607
AA-2_R1_fastqc,81.0,0.0
AA-2_R1_fastqc,82.0,0.0
AA-2_R1_fastqc,83.0,0.0
AA-2_R1_fastqc,84.0,0.0
AA-2_R1_fastqc,85.0,0.0
AA-2_R1_fastqc,86.0,0.0
AA-2_R1_fastqc,87.0,0.0
AA-2_R1_fastqc,88.0,0.0
AA-2_R1_fastqc,89.0,0.0
AA-2_R1_fastqc,90.0,0.0
AA-2_R1_fastqc,91.0,0.0
AA-2_R1_fastqc,92.0,0.0
AA-2_R1_fastqc,93.0,0.0
AA-2_R1_fastqc,94.0,0.0
AA-2_R1_fastqc,95.0,0.0
AA-2_R1_fastqc,96.0,0.0
AA-2_R1_fastqc,97.0,0.0
AA-2_R1_fastqc,98.0,0.0
AA-2_R1_fastqc,99.0,0.0
AA-2_R1_fastqc,100.0,0.0
AB-1_R1_fastqc,0.0,0.5
AB-1_R1_fastqc,1.0,0.0
AB-1_R1_fastqc,2.0,0.0055248618784530384
AB-1_R1_fastqc,3.0,0.0
AB-1_R1_fastqc,4.0,0.3333333333333333
AB-1_R1_fastqc,5.0,0.0
AB-1_R1_fastqc,6.0,0.0
AB-1_R1_fastqc,7.0,0.0
AB-1_R1_fastqc,8.0,0.0
AB-1_R1_fastqc,9.0,1.024390243902439
AB-1_R1_fastqc,10.0,1.5909090909090908
AB-1_R1_fastqc,11.0,1.5833333333333333
AB-1_R1_fastqc,12.0,1.2833333333333332
AB-1_R1_fastqc,13.0,0.7833333333333333
AB-1_R1_fastqc,14.0,1.4166666666666665
AB-1_R1_fastqc,15.0,1.3666666666666667
AB-1_R1_fastqc,16.0,1.4833333333333334
AB-1_R1_fastqc,17.0,1.0833333333333333
AB-1_R1_fastqc,18.0,1.7
AB-1_R1_fastqc,19.0,2.7409090909090907
AB-1_R1_fastqc,20.0,3.933333333333333
AB-1_R1_fastqc,21.0,5.190909090909091
AB-1_R1_fastqc,22.0,5.707575757575757
AB-1_R1_fastqc,23.0,7.330663780663779
AB-1_R1_fastqc,24.0,10.483766233766232
AB-1_R1_fastqc,25.0,17.94419191919192
AB-1_R1_fastqc,26.0,23.281998556998552
AB-1_R1_fastqc,27.0,29.987518995868122
AB-1_R1_fastqc,28.0,43.77033676114726
AB-1_R1_fastqc,29.0,64.19307033214808
AB-1_R1_fastqc,30.0,83.8174301635565
AB-1_R1_fastqc,31.0,103.70859238269985
AB-1_R1_fastqc,32.0,131.1650502972945
AB-1_R1_fastqc,33.0,161.486112174846
AB-1_R1_fastqc,34.0,193.37473658787383
AB-1_R1_fastqc,35.0,234.16148627222606
AB-1_R1_fastqc,36.0,247.27890770067376
AB-1_R1_fastqc,37.0,257.5514092266899
AB-1_R1_fastqc,38.0,256.46408190826264
AB-1_R1_fastqc,39.0,246.85374910831902
AB-1_R1_fastqc,40.0,228.47093333610874
AB-1_R1_fastqc,41.0,204.60735196383976
AB-1_R1_fastqc,42.0,187.68655870157193
AB-1_R1_fastqc,43.0,165.06914680986057
AB-1_R1_fastqc,44.0,133.3541923915883
AB-1_R1_fastqc,45.0,130.18928292408654
AB-1_R1_fastqc,46.0,119.8320908933303
AB-1_R1_fastqc,47.0,106.53651484798647
AB-1_R1_fastqc,48.0,94.49240000323675
AB-1_R1_fastqc,49.0,90.22271041889934
AB-1_R1_fastqc,50.0,80.81895199970604
AB-1_R1_fastqc,51.0,80.96647055348681
AB-1_R1_fastqc,52.0,65.96816842820985
AB-1_R1_fastqc,53.0,59.049907550838775
AB-1_R1_fastqc,54.0,52.615658678140385
AB-1_R1_fastqc,55.0,44.090434613889435
AB-1_R1_fastqc,56.0,49.64942545838607
AB-1_R1_fastqc,57.0,43.39276091432107
AB-1_R1_fastqc,58.0,34.74384270410112
AB-1_R1_fastqc,59.0,30.276544163409138
AB-1_R1_fastqc,60.0,28.408168923272278
AB-1_R1_fastqc,61.0,23.519931289333574
AB-1_R1_fastqc,62.0,22.539468381160017
AB-1_R1_fastqc,63.0,20.68773069790305
AB-1_R1_fastqc,64.0,18.720940194107623
AB-1_R1_fastqc,65.0,14.448986699016269
AB-1_R1_fastqc,66.0,12.16660983161588
AB-1_R1_fastqc,67.0,11.951424070557477
AB-1_R1_fastqc,68.0,10.348347655124007
AB-1_R1_fastqc,69.0,7.537568019616758
AB-1_R1_fastqc,70.0,7.536837041011247
AB-1_R1_fastqc,71.0,6.710428096145213
AB-1_R1_fastqc,72.0,5.911278263909615
